hive	time	value
R17	1552953600000	67.827
R17	1552867200000	62.809
R17	1552780800000	60.963
R17	1552694400000	58.998
R17	1552608000000	59.076
R17	1552521600000	59.868
R17	1552435200000	61.041
R17	1552348800000	61.781
R17	1552262400000	63.183
R17	1552176000000	61.536
R17	1552089600000	56.684
R17	1552003200000	53.177
R17	1551916800000	49.642
R17	1551830400000	45.418
R17	1551744000000	40.31
R17	1551657600000	36.737
R17	1551571200000	32.534
R17	1551484800000	31.833
R17	1551398400000	29.987
R17	1551312000000	27.204
R17	1551225600000	24.973
R17	1551139200000	24.681
R17	1551052800000	27.819
R17	1550966400000	30.087
R17	1550880000000	32.9
R17	1550793600000	31.661
R17	1550707200000	30.127
R17	1550620800000	27.874
R17	1550534400000	25.059
R17	1550448000000	21.146
R17	1550361600000	18.987
R17	1550275200000	17.65
R17	1550188800000	14.112
R17	1550102400000	9.887
R17	1549929600000	6.054
R17	1549843200000	3.451
R17	1549756800000	0
R17	1549670400000	0
R17	1548460800000	0
R17	1548374400000	0
R17	1548288000000	0
R17	1548201600000	0
R17	1548115200000	1.298
R17	1548028800000	3.607
R17	1547942400000	3.359
R17	1547856000000	0
R17	1547769600000	0
R17	1547683200000	0
R17	1547596800000	0
R17	1547510400000	0
R17	1547424000000	0
R17	1547337600000	0
R17	1547251200000	0
R17	1547164800000	0
R17	1547078400000	0
R17	1546992000000	0
R17	1546905600000	0
R17	1546819200000	0
R17	1546732800000	0
R17	1546646400000	0
R17	1546560000000	0
R17	1546473600000	9.895
R17	1546387200000	23.629
R17	1546300800000	36.271
R17	1546214400000	47.512
R17	1546128000000	55.492
R17	1546041600000	57.33
R17	1545955200000	46.78
R17	1545868800000	34.695
R17	1545782400000	21.12
R17	1545696000000	5.417
R17	1545609600000	0
R17	1545523200000	0
R17	1545436800000	0
R17	1545350400000	0
R17	1545264000000	0
R17	1545177600000	0
R17	1545091200000	0
R17	1545004800000	0
R17	1544918400000	0
R17	1544832000000	0
R17	1544745600000	0
R17	1544659200000	0
R17	1544572800000	0
R17	1544486400000	0
R17	1544400000000	0
R17	1544313600000	0
R17	1544227200000	0
R17	1544140800000	0
R17	1544054400000	0
R17	1543968000000	0
R17	1543881600000	0
R17	1543795200000	0
R17	1543708800000	0
R17	1543622400000	0
R17	1543536000000	0
R17	1543449600000	0
R17	1543363200000	0
R17	1543276800000	0
R17	1543190400000	0
R17	1543104000000	0
R17	1543017600000	0
R17	1542931200000	0
R17	1542844800000	0
R17	1542758400000	0
R17	1542672000000	0
R17	1542585600000	1.696
R17	1542499200000	5.167
R17	1542412800000	7.354
